Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.9099999999999999,0.31,0.41655217144694834
100% Corpus,6,0.9099999999999999,0.61,0.4215405557303356
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4066407565512792
100% Corpus,6,0.9099999999999999,symmetric,0.41303693066882924
100% Corpus,6,symmetric,0.01,0.4077824364940469
100% Corpus,6,symmetric,0.31,0.38882106153212115
100% Corpus,6,symmetric,0.61,0.39617812798353763
100% Corpus,6,symmetric,0.9099999999999999,0.44084189839317556
100% Corpus,6,symmetric,symmetric,0.404846414403211
100% Corpus,6,asymmetric,0.01,0.38524771779368805
100% Corpus,6,asymmetric,0.31,0.4215759864414153
100% Corpus,6,asymmetric,0.61,0.42309073759727395
100% Corpus,6,asymmetric,0.9099999999999999,0.4230412945401243
100% Corpus,6,asymmetric,symmetric,0.37868301111663316
100% Corpus,7,0.01,0.01,0.412356807692473
100% Corpus,7,0.01,0.31,0.3786367865178061
100% Corpus,7,0.01,0.61,0.38552777539075056
100% Corpus,7,0.01,0.9099999999999999,0.41983003697361915
100% Corpus,7,0.01,symmetric,0.4249468100575967
100% Corpus,7,0.31,0.01,0.35543141095432096
100% Corpus,7,0.31,0.31,0.357089454958664
100% Corpus,7,0.31,0.61,0.4061345716717539
100% Corpus,7,0.31,0.9099999999999999,0.40145280003133943
100% Corpus,7,0.31,symmetric,0.3507636596524956
100% Corpus,7,0.61,0.01,0.4218093515556762
100% Corpus,7,0.61,0.31,0.41562903748182245
100% Corpus,7,0.61,0.61,0.4217093549190153
100% Corpus,7,0.61,0.9099999999999999,0.4247859441927814
100% Corpus,7,0.61,symmetric,0.42879461772904026
100% Corpus,7,0.9099999999999999,0.01,0.40847542839367224
100% Corpus,7,0.9099999999999999,0.31,0.4193216795755467
100% Corpus,7,0.9099999999999999,0.61,0.4072574388356486
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.41090932674261194
100% Corpus,7,0.9099999999999999,symmetric,0.4250891189307411
100% Corpus,7,symmetric,0.01,0.38951643844347583
