k,alpha,beta,workers,coherence
9,0.91,0.91,4,-2.794863833
9,0.91,symmetric,4,-2.79911125
9,symmetric,0.01,4,-2.44640918
9,symmetric,0.31,4,-2.498321845
9,symmetric,0.61,4,-2.584487655
9,symmetric,0.91,4,-2.777048048
9,symmetric,symmetric,4,-2.451920125
9,asymmetric,0.01,4,-2.511251785
9,asymmetric,0.31,4,-2.460681271
9,asymmetric,0.61,4,-2.676360829
9,asymmetric,0.91,4,-3.40988202
9,asymmetric,symmetric,4,-2.484784363
8,0.01,0.01,4,-2.402174876
8,0.01,0.31,4,-2.410577462
8,0.01,0.61,4,-2.325530708
8,0.01,0.91,4,-2.411229371
8,0.01,symmetric,4,-2.415464652
8,0.31,0.01,4,-2.672502963
8,0.31,0.31,4,-2.632820399
8,0.31,0.61,4,-2.614582234
8,0.31,0.91,4,-2.709264745
8,0.31,symmetric,4,-2.663875481
8,0.61,0.01,4,-2.792420558
8,0.61,0.31,4,-2.770812737
8,0.61,0.61,4,-2.762745171
8,0.61,0.91,4,-2.863171532
8,0.61,symmetric,4,-2.813093851
8,0.91,0.01,4,-2.784300378
8,0.91,0.31,4,-2.775159991
8,0.91,0.61,4,-2.751592742
8,0.91,0.91,4,-2.780713382
8,0.91,symmetric,4,-2.785862316
8,symmetric,0.01,4,-2.460174547
8,symmetric,0.31,4,-2.480814839
8,symmetric,0.61,4,-2.410079649
8,symmetric,0.91,4,-2.500745534
8,symmetric,symmetric,4,-2.484880467
8,asymmetric,0.01,4,-2.579263113
8,asymmetric,0.31,4,-2.584683307
8,asymmetric,0.61,4,-3.040383311
8,asymmetric,0.91,4,-4.745424605
8,asymmetric,symmetric,4,-2.634973309
7,0.01,0.01,4,-2.359255584
7,0.01,0.31,4,-2.334567613
7,0.01,0.61,4,-2.384680522
7,0.01,0.91,4,-2.515658682
7,0.01,symmetric,4,-2.353570858
7,0.31,0.01,4,-2.570561036
7,0.31,0.31,4,-2.518320304
7,0.31,0.61,4,-2.522603084
7,0.31,0.91,4,-2.568028926
7,0.31,symmetric,4,-2.509758905
7,0.61,0.01,4,-2.684238865
7,0.61,0.31,4,-2.637942644
7,0.61,0.61,4,-2.60080458
7,0.61,0.91,4,-2.727482481
7,0.61,symmetric,4,-2.650448908
7,0.91,0.01,4,-2.736638115
7,0.91,0.31,4,-2.69648926
7,0.91,0.61,4,-2.69373476
7,0.91,0.91,4,-2.694097136
7,0.91,symmetric,4,-2.7468863
7,symmetric,0.01,4,-2.410657894
7,symmetric,0.31,4,-2.444205781
7,symmetric,0.61,4,-2.544633369
7,symmetric,0.91,4,-2.482761961
7,symmetric,symmetric,4,-2.392138414
7,asymmetric,0.01,4,-2.423140894
7,asymmetric,0.31,4,-2.599610229
7,asymmetric,0.61,4,-3.073401666
7,asymmetric,0.91,4,-3.449178395
7,asymmetric,symmetric,4,-2.416658157
