Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.01,0.5864119127796766
100% Corpus,9,0.61,0.31,0.572500844660276
100% Corpus,9,0.61,0.61,0.5544204525580866
100% Corpus,9,0.61,0.9099999999999999,0.5172927542037973
100% Corpus,9,0.61,symmetric,0.5891123867206184
100% Corpus,9,0.9099999999999999,0.01,0.5822176941200502
100% Corpus,9,0.9099999999999999,0.31,0.5858140477804322
100% Corpus,9,0.9099999999999999,0.61,0.5615013706534031
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.532162012736992
100% Corpus,9,0.9099999999999999,symmetric,0.5833855164874862
100% Corpus,9,symmetric,0.01,0.5844059802833549
100% Corpus,9,symmetric,0.31,0.5438214068375294
100% Corpus,9,symmetric,0.61,0.5147634643742767
100% Corpus,9,symmetric,0.9099999999999999,0.47501140159860017
100% Corpus,9,symmetric,symmetric,0.5823597079718154
100% Corpus,9,asymmetric,0.01,0.5859003916040612
100% Corpus,9,asymmetric,0.31,0.5520299691954765
100% Corpus,9,asymmetric,0.61,0.5748316335135202
100% Corpus,9,asymmetric,0.9099999999999999,0.5072910062670152
100% Corpus,9,asymmetric,symmetric,0.5892441620362693
100% Corpus,10,0.01,0.01,0.5891079979055016
100% Corpus,10,0.01,0.31,0.5617233033933993
100% Corpus,10,0.01,0.61,0.5321362649879309
100% Corpus,10,0.01,0.9099999999999999,0.4636446211529174
100% Corpus,10,0.01,symmetric,0.5835890769678038
100% Corpus,10,0.31,0.01,0.5861020082128662
100% Corpus,10,0.31,0.31,0.5907683640987931
100% Corpus,10,0.31,0.61,0.5734249356975423
100% Corpus,10,0.31,0.9099999999999999,0.5345362758041123
100% Corpus,10,0.31,symmetric,0.588522649263153
100% Corpus,10,0.61,0.01,0.5868074032944381
100% Corpus,10,0.61,0.31,0.5582572950283508
100% Corpus,10,0.61,0.61,0.5674376647471504
100% Corpus,10,0.61,0.9099999999999999,0.47819251637903415
100% Corpus,10,0.61,symmetric,0.5800813802215473
100% Corpus,10,0.9099999999999999,0.01,0.5831447577577568
100% Corpus,10,0.9099999999999999,0.31,0.579205284790885
100% Corpus,10,0.9099999999999999,0.61,0.5607208547301064
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.5060146783671728
100% Corpus,10,0.9099999999999999,symmetric,0.580074823076351
100% Corpus,10,symmetric,0.01,0.5869460753952511
100% Corpus,10,symmetric,0.31,0.539268333764968
100% Corpus,10,symmetric,0.61,0.5318266155535991
100% Corpus,10,symmetric,0.9099999999999999,0.4860188684863084
100% Corpus,10,symmetric,symmetric,0.5908155513143333
100% Corpus,10,asymmetric,0.01,0.5859765082980695
100% Corpus,10,asymmetric,0.31,0.5181349395034935
100% Corpus,10,asymmetric,0.61,0.5458940037960727
100% Corpus,10,asymmetric,0.9099999999999999,0.5130772720427824
100% Corpus,10,asymmetric,symmetric,0.5543465867335723
