Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,asymmetric,0.61,0.5928160943294012
75% Corpus,4,asymmetric,0.9099999999999999,0.4372848687093739
75% Corpus,4,asymmetric,symmetric,0.4999402717342857
75% Corpus,5,0.01,0.01,0.5589743569833716
75% Corpus,5,0.01,0.31,0.5637799927595392
75% Corpus,5,0.01,0.61,0.505095824509733
75% Corpus,5,0.01,0.9099999999999999,0.40983248152569474
75% Corpus,5,0.01,symmetric,0.5436061316225468
75% Corpus,5,0.31,0.01,0.5881145519552321
75% Corpus,5,0.31,0.31,0.57325413370531
75% Corpus,5,0.31,0.61,0.5542046784515657
75% Corpus,5,0.31,0.9099999999999999,0.5417953459979158
75% Corpus,5,0.31,symmetric,0.5815283992463767
75% Corpus,5,0.61,0.01,0.570715325430128
75% Corpus,5,0.61,0.31,0.5470528477566596
75% Corpus,5,0.61,0.61,0.4993818852593693
75% Corpus,5,0.61,0.9099999999999999,0.540545210077609
75% Corpus,5,0.61,symmetric,0.5376760929486999
75% Corpus,5,0.9099999999999999,0.01,0.5694216907220391
75% Corpus,5,0.9099999999999999,0.31,0.5673731214408011
75% Corpus,5,0.9099999999999999,0.61,0.5103645222511922
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.49553085076717807
75% Corpus,5,0.9099999999999999,symmetric,0.5585764766895418
75% Corpus,5,symmetric,0.01,0.5737430012191191
75% Corpus,5,symmetric,0.31,0.5477911265586172
75% Corpus,5,symmetric,0.61,0.5294855006064066
75% Corpus,5,symmetric,0.9099999999999999,0.45304176789504946
75% Corpus,5,symmetric,symmetric,0.560656859574074
75% Corpus,5,asymmetric,0.01,0.582988397566705
75% Corpus,5,asymmetric,0.31,0.5614366258480191
75% Corpus,5,asymmetric,0.61,0.5833825409420232
75% Corpus,5,asymmetric,0.9099999999999999,0.42792932479333246
75% Corpus,5,asymmetric,symmetric,0.5214489191706588
75% Corpus,6,0.01,0.01,0.565264161775529
75% Corpus,6,0.01,0.31,0.544618425654304
75% Corpus,6,0.01,0.61,0.5166481217675665
75% Corpus,6,0.01,0.9099999999999999,0.43277860077928887
75% Corpus,6,0.01,symmetric,0.5436425065275815
75% Corpus,6,0.31,0.01,0.5895659693615496
75% Corpus,6,0.31,0.31,0.5683907606189098
75% Corpus,6,0.31,0.61,0.5345065534206377
75% Corpus,6,0.31,0.9099999999999999,0.5453217501544804
75% Corpus,6,0.31,symmetric,0.5792778050434308
75% Corpus,6,0.61,0.01,0.5739887286797961
75% Corpus,6,0.61,0.31,0.5462979515063349
75% Corpus,6,0.61,0.61,0.5088175852479162
75% Corpus,6,0.61,0.9099999999999999,0.5523575290898635
75% Corpus,6,0.61,symmetric,0.5662107462233262
75% Corpus,6,0.9099999999999999,0.01,0.5668178439810834
75% Corpus,6,0.9099999999999999,0.31,0.5456725883691637
75% Corpus,6,0.9099999999999999,0.61,0.5106809124522309
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5052818095750329
75% Corpus,6,0.9099999999999999,symmetric,0.567540654822288
75% Corpus,6,symmetric,0.01,0.5855652776436128
75% Corpus,6,symmetric,0.31,0.5420907012533767
75% Corpus,6,symmetric,0.61,0.5527943042447804
75% Corpus,6,symmetric,0.9099999999999999,0.43838028914480587
75% Corpus,6,symmetric,symmetric,0.5616588996176781
75% Corpus,6,asymmetric,0.01,0.5777217093940412
75% Corpus,6,asymmetric,0.31,0.583356983682176
75% Corpus,6,asymmetric,0.61,0.5760440672133669
75% Corpus,6,asymmetric,0.9099999999999999,0.45566769601457724
75% Corpus,6,asymmetric,symmetric,0.5072094376801037
75% Corpus,7,0.01,0.01,0.5653002691865356
75% Corpus,7,0.01,0.31,0.5777053281127598
75% Corpus,7,0.01,0.61,0.529975634220187
75% Corpus,7,0.01,0.9099999999999999,0.42134207416505093
75% Corpus,7,0.01,symmetric,0.5488096506390504
75% Corpus,7,0.31,0.01,0.5918166910013183
75% Corpus,7,0.31,0.31,0.5504164996937434
75% Corpus,7,0.31,0.61,0.5485652200736368
75% Corpus,7,0.31,0.9099999999999999,0.5457565247223108
75% Corpus,7,0.31,symmetric,0.5830270516146494
75% Corpus,7,0.61,0.01,0.5658111641746307
75% Corpus,7,0.61,0.31,0.5662365448474447
75% Corpus,7,0.61,0.61,0.4781983148905214
75% Corpus,7,0.61,0.9099999999999999,0.5776108171754785
75% Corpus,7,0.61,symmetric,0.56415340029381
75% Corpus,7,0.9099999999999999,0.01,0.5620347644425829
75% Corpus,7,0.9099999999999999,0.31,0.5678420370778398
75% Corpus,7,0.9099999999999999,0.61,0.52249322263178
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5025740399494143
75% Corpus,7,0.9099999999999999,symmetric,0.5588012372128807
75% Corpus,7,symmetric,0.01,0.5774777083255735
75% Corpus,7,symmetric,0.31,0.5458244182930886
75% Corpus,7,symmetric,0.61,0.5301322248427585
75% Corpus,7,symmetric,0.9099999999999999,0.44114686934839104
75% Corpus,7,symmetric,symmetric,0.5520600379008556
75% Corpus,7,asymmetric,0.01,0.5801008459299476
75% Corpus,7,asymmetric,0.31,0.558588423496434
75% Corpus,7,asymmetric,0.61,0.5927446652444668
75% Corpus,7,asymmetric,0.9099999999999999,0.42741676622417923
75% Corpus,7,asymmetric,symmetric,0.5102382457261696
75% Corpus,8,0.01,0.01,0.5671390347370091
75% Corpus,8,0.01,0.31,0.5672804264050891
75% Corpus,8,0.01,0.61,0.5087222653661237
75% Corpus,8,0.01,0.9099999999999999,0.43451320734826915
75% Corpus,8,0.01,symmetric,0.5446395431566662
75% Corpus,8,0.31,0.01,0.5883366324524408
75% Corpus,8,0.31,0.31,0.5687913141646771
75% Corpus,8,0.31,0.61,0.5400877481967521
75% Corpus,8,0.31,0.9099999999999999,0.5509722045087578
75% Corpus,8,0.31,symmetric,0.5914371291031623
75% Corpus,8,0.61,0.01,0.5689030294433928
75% Corpus,8,0.61,0.31,0.5825400252576209
75% Corpus,8,0.61,0.61,0.47587779647213874
75% Corpus,8,0.61,0.9099999999999999,0.5323302768196772
75% Corpus,8,0.61,symmetric,0.5625276133172548
75% Corpus,8,0.9099999999999999,0.01,0.5651076809082942
75% Corpus,8,0.9099999999999999,0.31,0.5641270914640382
75% Corpus,8,0.9099999999999999,0.61,0.5290210382948739
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.49629923258221176
75% Corpus,8,0.9099999999999999,symmetric,0.5542347537342414
75% Corpus,8,symmetric,0.01,0.5868810169065308
75% Corpus,8,symmetric,0.31,0.5788021894067314
75% Corpus,8,symmetric,0.61,0.529231670050397
75% Corpus,8,symmetric,0.9099999999999999,0.4387266939686418
75% Corpus,8,symmetric,symmetric,0.5639424120651212
75% Corpus,8,asymmetric,0.01,0.5746873309499586
