,k,alpha,beta,score
43,13,0.61,0.9099999999999999,-3.4726899161781852
44,13,0.9099999999999999,0.01,-2.503627632296266
45,13,0.9099999999999999,0.31,-2.5118432117158096
46,13,0.9099999999999999,0.61,-2.5554794433044656
47,13,0.9099999999999999,0.9099999999999999,-2.908551673956014
48,12,0.01,0.01,-2.3359630288608058
49,12,0.01,0.31,-2.3274655147681678
50,12,0.01,0.61,-2.466058172937512
51,12,0.01,0.9099999999999999,-3.9105288036540204
52,12,0.31,0.01,-2.428768912982221
53,12,0.31,0.31,-2.4497434316881845
54,12,0.31,0.61,-2.4718241621800536
55,12,0.31,0.9099999999999999,-3.773114963162943
56,12,0.61,0.01,-2.5556359736521945
57,12,0.61,0.31,-2.4775349796760944
58,12,0.61,0.61,-2.470608624764444
59,12,0.61,0.9099999999999999,-2.7505933207189925
60,12,0.9099999999999999,0.01,-2.4891768726146366
61,12,0.9099999999999999,0.31,-2.5068816506555214
62,12,0.9099999999999999,0.61,-2.46928518258778
63,12,0.9099999999999999,0.9099999999999999,-2.631932722799434
64,11,0.01,0.01,-2.3067305502978424
65,11,0.01,0.31,-2.3377449302424242
66,11,0.01,0.61,-2.4370565909540547
67,11,0.01,0.9099999999999999,-4.5963513341813576
68,11,0.31,0.01,-2.3761844364910343
69,11,0.31,0.31,-2.3712131702107535
70,11,0.31,0.61,-2.424718139301526
71,11,0.31,0.9099999999999999,-4.003287497446249
72,11,0.61,0.01,-2.482521707624167
73,11,0.61,0.31,-2.4301757774766384
74,11,0.61,0.61,-2.4572595804776824
75,11,0.61,0.9099999999999999,-2.5557488753725606
76,11,0.9099999999999999,0.01,-2.4721154828288316
77,11,0.9099999999999999,0.31,-2.4605983369052655
78,11,0.9099999999999999,0.61,-2.499099572684605
79,11,0.9099999999999999,0.9099999999999999,-2.5614060133489542
80,10,0.01,0.01,-2.2762848296166105
81,10,0.01,0.31,-2.23560563478505
82,10,0.01,0.61,-2.3278333775760487
83,10,0.01,0.9099999999999999,-2.9848054616925332
84,10,0.31,0.01,-2.336436507296443
