k,alpha,beta,workers,coherence
9,0.61,0.01,4,0.5805436387729377
9,0.61,0.31,4,0.570648577531931
9,0.61,0.61,4,0.5850532615370347
9,0.61,0.9099999999999999,4,0.5576364080833689
9,0.61,symmetric,4,0.5790212645381781
9,0.9099999999999999,0.01,4,0.5682838947539691
9,0.9099999999999999,0.31,4,0.571769042747855
9,0.9099999999999999,0.61,4,0.5643102211511454
9,0.9099999999999999,0.9099999999999999,4,0.5599878161626086
9,0.9099999999999999,symmetric,4,0.5641111757103835
9,symmetric,0.01,4,0.5775299675423423
9,symmetric,0.31,4,0.5960435390583882
9,symmetric,0.61,4,0.5705448822456449
9,symmetric,0.9099999999999999,4,0.5391819792338265
9,symmetric,symmetric,4,0.5644129070258191
9,asymmetric,0.01,4,0.5882184447108544
9,asymmetric,0.31,4,0.5742867908586734
9,asymmetric,0.61,4,0.5799673013466131
9,asymmetric,0.9099999999999999,4,0.5487300420346535
9,asymmetric,symmetric,4,0.5509644404261884
8,0.01,0.01,4,0.5985204196341198
8,0.01,0.31,4,0.5861046121774978
8,0.01,0.61,4,0.6043538632065006
8,0.01,0.9099999999999999,4,0.5678227786772563
8,0.01,symmetric,4,0.5903459150141851
8,0.31,0.01,4,0.6020310912594192
8,0.31,0.31,4,0.567209433032209
8,0.31,0.61,4,0.6232792993761641
8,0.31,0.9099999999999999,4,0.591997587323877
8,0.31,symmetric,4,0.6000786732762349
8,0.61,0.01,4,0.557147089693559
8,0.61,0.31,4,0.5791711505619379
8,0.61,0.61,4,0.590166516565681
8,0.61,0.9099999999999999,4,0.5514775303447372
8,0.61,symmetric,4,0.5646784502986717
8,0.9099999999999999,0.01,4,0.5576157980150391
8,0.9099999999999999,0.31,4,0.5753258665267142
8,0.9099999999999999,0.61,4,0.5777117363000335
8,0.9099999999999999,0.9099999999999999,4,0.5615499231139657
8,0.9099999999999999,symmetric,4,0.5710246642534222
8,symmetric,0.01,4,0.6082201477871207
8,symmetric,0.31,4,0.5749796485432603
